Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
-20.32,-111.8,-146.31,-137.49,-123.69,19.983,90,8.13
153.43,45,61.93,-47.73,-113.199,-6.34,-136.637,-90
16.7,-67.38,-81.25,52.13,-161.565,-54.462,21.038,-90
156.04,0,-94.4,-43.15,-24.444,5.194,-3.814,-66.038
0,-90,-169.38,79.38,93.366,19.983,-90,8.746
-9.46,82.15,113.96,-43.53,23.962,-28.61,17.526,-63.435
70.71,-167.47,-59.04,38.66,84.289,0,-3.18,137.726
80.54,39.81,56.31,-166.76,48.366,-175.914,-56.31,-75.964
-53.13,25.2,153.43,-154.36,12.529,16.699,54.782,90
-47.12,-150.64,116.57,-56.31,-137.121,-85.914,-4.399,26.565
-156.8,-109.44,50.91,-86.63,-125.538,-118.811,-141.71,90
-126.38,-71.57,83.99,-65.56,0,-36.87,16.39,0
35.54,-4.4,-85.24,81.87,-176.634,5.711,-110.556,-50.711
-14.93,6.34,-120.26,-48.37,12.529,-75.964,21.801,-19.983
38.99,-90,90,135,47.49,0,25.201,99.462
-108.43,-75.96,14.04,-97.77,7.125,-174.289,52.125,-7.125
56.31,-135,-159.44,-130.24,-131.987,-92.862,14.036,48.366
-90,173.66,-141.34,104.04,-3.814,-36.87,0,0
-5.71,68.96,-155.22,-110.56,-93.18,8.13,34.695,97.125
-116.57,-38.66,61.7,-146.31,116.565,71.565,-90,168.69
143.97,-14.93,153.43,101.31,-90,-12.995,97.125,-82.875
97.59,135,50.19,-171.87,-109.179,0,15.945,66.038
173.66,-90,-26.57,101.31,-71.565,-150.255,43.152,11.31
54.46,68.2,90,-90,54.689,-30.964,26.565,0
-116.57,82.87,-140.19,-90,-112.834,26.565,96.34,10.008
-90,-75.96,-165.96,-90,37.569,-96.34,33.69,-90
-126.25,47.29,147.99,-90,60.255,-137.121,-45,-99.462
-37.57,156.8,-152.24,7.13,-40.601,20.556,45,-81.87
40.6,-141.34,30.96,-32.01,-48.013,173.66,-55.305,-77.471
0,33.69,-140.91,-112.17,-7.595,174.289,75.069,63.435
-167.2,-39.81,135,94.76,-73.61,72.897,3.013,90
6.34,-101.31,-101.89,171.87,5.194,53.13,-98.746,-45
-53.97,-47.73,-120.96,-5.19,-5.194,0,-130.601,90
0,45,138.37,180,39.289,-15.524,-102.095,60.255
-129.81,55.01,115.02,-78.69,-79.216,-23.962,-67.166,47.862
112.38,7.13,52.43,-163.3,-167.905,-4.086,86.634,-94.086
-154.98,-153.43,146.31,-126.03,-109.654,70.017,-175.914,-90
68.96,-125.54,135,-96.34,20.556,59.036,12.995,-4.764
105.26,180,0,75.96,32.276,-66.038,-53.973,-161.565
71.57,3.37,-61.93,-80.54,-77.471,72.474,36.87,-164.745
22.62,-162.65,-8.13,-157.38,-54.462,-15.255,-11.31,22.62
0,135,-142.59,-143.13,168.69,16.699,39.806,90
-157.62,119.74,-123.69,-99.46,168.69,35.538,-33.69,69.444
39.81,10.3,-10.3,-90,27.759,180,-140.906,-70.017
9.46,107.1,-94.76,-168.69,81.87,-25.017,12.529,-71.565
-2.86,-23.96,-161.57,129.81,-53.13,0,-69.444,135
156.04,43.26,-26.57,-85.91,-52.125,-90,-9.462,-106.928
170.54,59.04,-55.01,63.43,-49.399,-139.399,48.814,121.43
